  0.20022E-02  0.18268E+02  0.48237E-01  0.10961E+01  0.84166E-01  0.10938E+01 -0.39281E-04  0.90380E+00 -0.22164E-04  0.62231E+00 -0.33912E-05  0.21524E+00  0.20604E+01  0.13236E+00  0.37784E+00  0.18842E+01  0.12970E+00
  0.20729E-02  0.17960E+02  0.49257E-01  0.10810E+01  0.85980E-01  0.10786E+01 -0.57188E-04  0.88962E+00 -0.32388E-04  0.61149E+00 -0.49860E-05  0.21128E+00  0.20309E+01  0.13516E+00  0.37156E+00  0.18573E+01  0.13244E+00
  0.21461E-02  0.17656E+02  0.50299E-01  0.10661E+01  0.87831E-01  0.10637E+01 -0.75280E-04  0.87561E+00 -0.42717E-04  0.60081E+00 -0.65976E-05  0.20738E+00  0.20017E+01  0.13802E+00  0.36536E+00  0.18307E+01  0.13510E+00
  0.22219E-02  0.17355E+02  0.51361E-01  0.10514E+01  0.89720E-01  0.10489E+01 -0.93554E-04  0.86177E+00 -0.53151E-04  0.59026E+00 -0.82253E-05  0.20353E+00  0.19730E+01  0.14094E+00  0.35923E+00  0.18043E+01  0.13773E+00
  0.23004E-02  0.17058E+02  0.52444E-01  0.10368E+01  0.91648E-01  0.10343E+01 -0.11200E-03  0.84810E+00 -0.63685E-04  0.57986E+00 -0.98689E-05  0.19973E+00  0.19446E+01  0.14392E+00  0.35318E+00  0.17784E+01  0.14037E+00
  0.23817E-02  0.16766E+02  0.53549E-01  0.10224E+01  0.93614E-01  0.10198E+01 -0.13062E-03  0.83459E+00 -0.74318E-04  0.56959E+00 -0.11528E-04  0.19599E+00  0.19165E+01  0.14695E+00  0.34722E+00  0.17527E+01  0.14301E+00
  0.24658E-02  0.16476E+02  0.54676E-01  0.10082E+01  0.95620E-01  0.10055E+01 -0.14941E-03  0.82124E+00 -0.85045E-04  0.55946E+00 -0.13202E-04  0.19229E+00  0.18889E+01  0.15005E+00  0.34132E+00  0.17274E+01  0.14580E+00
  0.25529E-02  0.16191E+02  0.55825E-01  0.99409E+00  0.97666E-01  0.99140E+00 -0.16835E-03  0.80806E+00 -0.95861E-04  0.54946E+00 -0.14890E-04  0.18865E+00  0.18616E+01  0.15321E+00  0.33550E+00  0.17025E+01  0.14875E+00
  0.26431E-02  0.15909E+02  0.56997E-01  0.98015E+00  0.99754E-01  0.97741E+00 -0.18744E-03  0.79504E+00 -0.10676E-03  0.53959E+00 -0.16590E-04  0.18506E+00  0.18346E+01  0.15644E+00  0.32975E+00  0.16780E+01  0.15179E+00
  0.27364E-02  0.15631E+02  0.58192E-01  0.96638E+00  0.10188E+00  0.96359E+00 -0.20665E-03  0.78217E+00 -0.11774E-03  0.52986E+00 -0.18303E-04  0.18152E+00  0.18081E+01  0.15973E+00  0.32408E+00  0.16538E+01  0.15493E+00
  0.28331E-02  0.15357E+02  0.59409E-01  0.95276E+00  0.10405E+00  0.94991E+00 -0.22599E-03  0.76946E+00 -0.12878E-03  0.52025E+00 -0.20027E-04  0.17803E+00  0.17819E+01  0.16309E+00  0.31849E+00  0.16299E+01  0.15810E+00
  0.29332E-02  0.15086E+02  0.60651E-01  0.93929E+00  0.10627E+00  0.93639E+00 -0.24543E-03  0.75691E+00 -0.13988E-03  0.51077E+00 -0.21760E-04  0.17459E+00  0.17560E+01  0.16651E+00  0.31296E+00  0.16063E+01  0.16119E+00
  0.30368E-02  0.14819E+02  0.61917E-01  0.92597E+00  0.10853E+00  0.92302E+00 -0.26497E-03  0.74452E+00 -0.15104E-03  0.50141E+00 -0.23501E-04  0.17120E+00  0.17304E+01  0.17000E+00  0.30751E+00  0.15830E+01  0.16429E+00
  0.31440E-02  0.14555E+02  0.63207E-01  0.91280E+00  0.11083E+00  0.90980E+00 -0.28459E-03  0.73227E+00 -0.16225E-03  0.49219E+00 -0.25251E-04  0.16786E+00  0.17052E+01  0.17356E+00  0.30212E+00  0.15599E+01  0.16740E+00
  0.32551E-02  0.14295E+02  0.64522E-01  0.89978E+00  0.11318E+00  0.89672E+00 -0.30428E-03  0.72018E+00 -0.17349E-03  0.48308E+00 -0.27006E-04  0.16456E+00  0.16804E+01  0.17718E+00  0.29681E+00  0.15372E+01  0.17055E+00
  0.33701E-02  0.14038E+02  0.65862E-01  0.88691E+00  0.11558E+00  0.88379E+00 -0.32403E-03  0.70823E+00 -0.18477E-03  0.47410E+00 -0.28767E-04  0.16132E+00  0.16559E+01  0.18089E+00  0.29157E+00  0.15149E+01  0.17394E+00
  0.34891E-02  0.13784E+02  0.67228E-01  0.87418E+00  0.11802E+00  0.87100E+00 -0.34382E-03  0.69644E+00 -0.19608E-03  0.46524E+00 -0.30532E-04  0.15812E+00  0.16317E+01  0.18467E+00  0.28640E+00  0.14929E+01  0.17743E+00
  0.36123E-02  0.13534E+02  0.68619E-01  0.86159E+00  0.12051E+00  0.85835E+00 -0.36365E-03  0.68479E+00 -0.20741E-03  0.45650E+00 -0.32300E-04  0.15496E+00  0.16079E+01  0.18852E+00  0.28129E+00  0.14712E+01  0.18103E+00
